Datetime,RecNbr,TurbNTU,DepthFT2,TurbNTU2
2015-05-19 15:21:50,5260,8.82,0.094,-0.286
2015-05-19 15:21:55,5261,15.13,0.073,3.449
2015-05-19 15:22:00,5262,8.4,0.114,6.81
2015-05-19 15:22:05,5263,14.71,0.066,3.075
2015-05-19 15:22:10,5264,20.59,0.08,7.183
2015-05-19 15:22:15,5265,13.45,0.077,-1.407
2015-05-19 15:22:20,5266,6.717,0.087,-1.407
2015-05-19 15:22:25,5267,7.558,0.07,4.569
2015-05-19 15:22:30,5268,20.59,0.121,-0.66
2015-05-19 15:22:35,5269,13.45,0.022,4.942
2015-05-19 15:22:40,5270,10.5,0.077,3.822
2015-05-19 15:22:45,5271,7.138,0.128,-0.66
2015-05-19 15:22:50,5272,13.02,0.053,5.316
2015-05-19 15:22:55,5273,15.55,0.107,4.942
2015-05-19 15:23:00,5274,20.59,0.063,1.581
2015-05-19 15:23:05,5275,19.75,0.121,3.822
2015-05-19 15:23:10,5276,12.18,0.094,0.834
2015-05-19 15:23:15,5277,7.558,0.121,-1.033
2015-05-19 15:23:20,5278,16.81,0.06,4.569
2015-05-19 15:23:25,5279,16.81,0.087,-1.033
2015-05-19 15:23:30,5280,13.45,0.019,4.569
2015-05-19 15:23:35,5281,13.87,0.066,5.316
2015-05-19 15:23:40,5282,11.76,0.114,-1.033
2015-05-19 15:23:45,5283,7.979,0.104,3.822
2015-05-19 15:23:50,5284,19.75,0.111,-0.66
2015-05-19 15:23:55,5285,7.979,0.09,4.569
2015-05-19 15:24:00,5286,15.55,0.06,4.569
2015-05-19 15:24:05,5287,16.39,0.08,0.087
2015-05-19 15:24:10,5288,19.75,0.039,4.569
2015-05-19 15:24:15,5289,16.81,0.121,-1.407
2015-05-19 15:24:20,5290,15.97,0.087,-0.286
2015-05-19 15:24:25,5291,12.18,0.06,7.556
2015-05-19 15:24:30,5292,14.29,0.114,-0.66
2015-05-19 15:24:35,5293,14.29,0.08,3.448
2015-05-19 15:24:40,5294,7.558,0.114,7.183
2015-05-19 15:24:45,5295,10.92,0.06,-0.286
2015-05-19 15:24:50,5296,12.6,0.07,8.3
2015-05-19 15:24:55,5297,16.81,0.073,-0.66
2015-05-19 15:25:00,5298,21.01,0.097,-1.033
2015-05-19 15:25:05,5299,12.18,0.087,-0.66
2015-05-19 15:25:10,5300,21.43,0.083,4.942
2015-05-19 15:25:15,5301,7.979,0.117,7.183
